var_name_o,Gini_Statistic,Information_Value,Information_Value_Ordering,cluster,var_name,rsquared,rsquared_next,clus_next,rsquared_ratio,source
CNC_268,9.964,0.042,491,Clus01,WOE_CNC_268,0.992122398,0.7712340371,Clus59,0.0344352013,fmcc
CNC_270,10.221,0.042,469,Clus01,WOE_CNC_270,0.9892311693,0.761574155,Clus59,0.0451663733,fmcc
CNC_321,9.968,0.042,492,Clus01,WOE_CNC_321,0.9894461689,0.776881469,Clus59,0.0473014546,fmcc
CNC_265,10.238,0.042,466,Clus01,WOE_CNC_265,0.9886385063,0.76073542,Clus59,0.0474850634,fmcc
CNC_267,10.035,0.042,476,Clus01,WOE_CNC_267,0.9888166768,0.7670361045,Clus59,0.048004534,fmcc
CNC_272,10.253,0.042,465,Clus01,WOE_CNC_272,0.9883379815,0.7602945416,Clus59,0.0486514518,fmcc
CNC_297,9.983,0.042,489,Clus01,WOE_CNC_297,0.9887415027,0.7769758874,Clus59,0.0504810765,fmcc
CNC_298,9.983,0.042,490,Clus01,WOE_CNC_298,0.9887415027,0.7769758874,Clus59,0.0504810765,fmcc
CNC_269,10.268,0.042,462,Clus01,WOE_CNC_269,0.9873888228,0.7585440873,Clus59,0.0522297302,fmcc
CNC_289,10.003,0.042,475,Clus01,WOE_CNC_289,0.9868772257,0.7699796018,Clus59,0.0570504805,fmcc
CNC_295,10.069,0.042,482,Clus01,WOE_CNC_295,0.9868600548,0.7801665418,Clus59,0.0597722715,fmcc
CNC_296,10.069,0.042,483,Clus01,WOE_CNC_296,0.9868600548,0.7801665418,Clus59,0.0597722715,fmcc
CNC_322,10.048,0.042,485,Clus01,WOE_CNC_322,0.9862798555,0.7786012021,Clus59,0.0619702754,fmcc
CNC_283,10.349,0.043,455,Clus01,WOE_CNC_283,0.9841243378,0.7633044097,Clus59,0.0670720659,fmcc
CNC_290,10.232,0.043,460,Clus01,WOE_CNC_290,0.9837910046,0.765729426,Clus59,0.0691892077,fmcc
CNC_299,10.079,0.042,477,Clus01,WOE_CNC_299,0.9838651059,0.7780063308,Clus59,0.0726817756,fmcc
CNC_300,10.079,0.042,478,Clus01,WOE_CNC_300,0.9838651059,0.7780063308,Clus59,0.0726817756,fmcc
CNC_043,10.345,0.042,467,Clus01,WOE_CNC_043,0.9828876008,0.7718331956,Clus59,0.0749995129,fmcc
CNC_282,10.359,0.043,454,Clus01,WOE_CNC_282,0.9820581497,0.7612493168,Clus59,0.0751488961,fmcc
CNC_320,10.106,0.042,473,Clus01,WOE_CNC_320,0.9819709273,0.777497416,Clus59,0.0810285994,fmcc
KBS4_044,10.342,0.042,464,Clus01,WOE_KBS4_044,0.9810576104,0.7765461384,Clus59,0.0847709206,fmcc
CNC_301,10.183,0.042,471,Clus01,WOE_CNC_301,0.9814009657,0.7818687511,Clus59,0.0852653364,fmcc
CNC_302,10.183,0.042,472,Clus01,WOE_CNC_302,0.9814009657,0.7818687511,Clus59,0.0852653364,fmcc
CNC_271,10.377,0.043,451,Clus01,WOE_CNC_271,0.9750486115,0.7483925783,Clus59,0.0991679354,fmcc
CNC_274,10.424,0.043,447,Clus01,WOE_CNC_274,0.9732563506,0.7441295149,Clus59,0.1045202591,fmcc
