var_name_o,Gini_Statistic,Information_Value,Information_Value_Ordering,cluster,var_name,rsquared,rsquared_next,clus_next,rsquared_ratio,source
CNC_268,9.964,0.042,491,Clus01,WOE_CNC_268,0.9918528795,0.7605694382,Clus53,0.0340270699,fmcc
CNC_270,10.221,0.042,469,Clus01,WOE_CNC_270,0.9887667877,0.7503927483,Clus53,0.0450035494,fmcc
CNC_321,9.968,0.042,492,Clus01,WOE_CNC_321,0.988965125,0.7665127942,Clus53,0.0472611551,fmcc
CNC_265,10.238,0.042,466,Clus01,WOE_CNC_265,0.9881376412,0.7495257472,Clus53,0.0473595934,fmcc
CNC_267,10.035,0.042,476,Clus01,WOE_CNC_267,0.9882995925,0.7561365845,Clus53,0.0479793473,fmcc
CNC_272,10.253,0.042,465,Clus01,WOE_CNC_272,0.9878118119,0.7490291091,Clus53,0.0485641505,fmcc
CNC_297,9.983,0.042,489,Clus01,WOE_CNC_297,0.9882086782,0.7666139621,Clus53,0.0505228242,fmcc
CNC_298,9.983,0.042,490,Clus01,WOE_CNC_298,0.9882086782,0.7666139621,Clus53,0.0505228242,fmcc
CNC_269,10.268,0.042,462,Clus01,WOE_CNC_269,0.9867928295,0.7471968843,Clus53,0.0522429103,fmcc
CNC_289,10.003,0.042,475,Clus01,WOE_CNC_289,0.9862235988,0.7592041258,Clus53,0.0572119486,fmcc
CNC_295,10.069,0.042,482,Clus01,WOE_CNC_295,0.9861955647,0.7699745977,Clus53,0.0600126559,fmcc
CNC_296,10.069,0.042,483,Clus01,WOE_CNC_296,0.9861955647,0.7699745977,Clus53,0.0600126559,fmcc
CNC_322,10.048,0.042,485,Clus01,WOE_CNC_322,0.9855656329,0.7683219928,Clus53,0.0623035708,fmcc
CNC_283,10.349,0.043,455,Clus01,WOE_CNC_283,0.9832884704,0.752183444,Clus53,0.0674350811,fmcc
CNC_290,10.232,0.043,460,Clus01,WOE_CNC_290,0.9829175251,0.7547178504,Clus53,0.0696441831,fmcc
CNC_299,10.079,0.042,477,Clus01,WOE_CNC_299,0.9829790247,0.7676805956,Clus53,0.0732654051,fmcc
CNC_300,10.079,0.042,478,Clus01,WOE_CNC_300,0.9829790247,0.7676805956,Clus53,0.0732654051,fmcc
CNC_282,10.359,0.043,454,Clus01,WOE_CNC_282,0.9810749841,0.7499630651,Clus53,0.0756888812,fmcc
CNC_043,10.345,0.042,467,Clus01,WOE_CNC_043,0.9819123286,0.7610496812,Clus53,0.0756963684,fmcc
CNC_320,10.106,0.042,473,Clus01,WOE_CNC_320,0.9810147098,0.7671779849,Clus53,0.0815442224,fmcc
KBS4_044,10.342,0.042,464,Clus01,WOE_KBS4_044,0.9801659781,0.7666199195,Clus53,0.0849859247,fmcc
CNC_301,10.183,0.042,471,Clus01,WOE_CNC_301,0.9803592038,0.7717617975,Clus53,0.0860539385,fmcc
CNC_302,10.183,0.042,472,Clus01,WOE_CNC_302,0.9803592038,0.7717617975,Clus53,0.0860539385,fmcc
CNC_271,10.377,0.043,451,Clus01,WOE_CNC_271,0.9735382051,0.736447278,Clus53,0.1004041797,fmcc
CNC_274,10.424,0.043,447,Clus01,WOE_CNC_274,0.971632679,0.7319504828,Clus53,0.105828659,fmcc
CNC_273,10.426,0.043,446,Clus01,WOE_CNC_273,0.9713507678,0.7315948371,Clus53,0.1067387523,fmcc
CNC_264,10.225,0.043,453,Clus01,WOE_CNC_264,0.9691759121,0.7309005467,Clus53,0.1145453382,fmcc
CNC_288,10.541,0.043,437,Clus01,WOE_CNC_288,0.970077865,0.7438893301,Clus53,0.1168328325,fmcc
CNC_305,10.541,0.043,438,Clus01,WOE_CNC_305,0.970077865,0.7438893301,Clus53,0.1168328325,fmcc
CNC_287,10.602,0.043,439,Clus01,WOE_CNC_287,0.9705698423,0.7501363674,Clus53,0.1177848787,fmcc
CNC_304,10.602,0.043,440,Clus01,WOE_CNC_304,0.9705698423,0.7501363674,Clus53,0.1177848787,fmcc
CNC_280,10.544,0.044,429,Clus01,WOE_CNC_280,0.9633591436,0.7388135919,Clus53,0.1402862296,fmcc
CNC_266,10.55,0.044,427,Clus01,WOE_CNC_266,0.957806782,0.7182943429,Clus53,0.1497776738,fmcc
CNC_008,9.965,0.04,528,Clus01,WOE_CNC_008,0.9589991276,0.7395792374,Clus53,0.1574408736,fmcc
CNC_024,10.196,0.043,448,Clus01,WOE_CNC_024,0.9598874577,0.747411699,Clus53,0.1588060183,fmcc
CNC_281,10.554,0.044,412,Clus01,WOE_CNC_281,0.9553907357,0.7341631729,Clus53,0.1678069394,fmcc
CNC_285,10.932,0.045,400,Clus01,WOE_CNC_285,0.9481030875,0.7282537567,Clus53,0.190975639,fmcc
CNC_284,10.951,0.045,399,Clus01,WOE_CNC_284,0.9480585053,0.7280258331,Clus53,0.1909795159,fmcc
CNC_286,11.014,0.044,401,Clus01,WOE_CNC_286,0.9473576935,0.733472251,Clus53,0.1975115415,fmcc
CNC_303,11.014,0.044,402,Clus01,WOE_CNC_303,0.9473576935,0.733472251,Clus53,0.1975115415,fmcc
CNC_318,10.795,0.044,419,Clus01,WOE_CNC_318,0.9445146402,0.7202966395,Clus53,0.1983721601,fmcc
CNC_023,10.281,0.043,435,Clus01,WOE_CNC_023,0.9534847246,0.7663096076,Clus53,0.1990465887,fmcc
CNC_007,10.306,0.041,514,Clus01,WOE_CNC_007,0.944103536,0.7243487876,Clus53,0.2027796775,fmcc
CNC_278,10.94,0.045,387,Clus01,WOE_CNC_278,0.9383371127,0.7218514727,Clus53,0.2216905043,fmcc
CNC_279,10.951,0.045,385,Clus01,WOE_CNC_279,0.937441769,0.7222757923,Clus53,0.225253072,fmcc
CNC_317,11.111,0.044,409,Clus01,WOE_CNC_317,0.9339716202,0.7102410222,Clus53,0.2278734563,fmcc
LSA_101,10.637,0.041,496,Clus01,WOE_LSA_101,0.9353780331,0.7430030972,Clus53,0.2514503723,fmcc
LSA_102,10.637,0.041,497,Clus01,WOE_LSA_102,0.9353780331,0.7430030972,Clus53,0.2514503723,fmcc
CNC_031,11.154,0.045,389,Clus01,WOE_CNC_031,0.9236295348,0.7237690069,Clus53,0.2764731949,fmcc
CNC_035,11.154,0.045,390,Clus01,WOE_CNC_035,0.9236295348,0.7237690069,Clus53,0.2764731949,fmcc
CNC_275,11.025,0.045,391,Clus01,WOE_CNC_275,0.9152461209,0.7083707134,Clus53,0.2906219745,fmcc
CNC_037,11.09,0.045,386,Clus01,WOE_CNC_037,0.9214953219,0.7311689148,Clus53,0.2920223234,fmcc
CNC_022,11.349,0.046,374,Clus01,WOE_CNC_022,0.9181236297,0.7387922627,Clus53,0.313453082,fmcc
CNC_044,11.566,0.046,372,Clus01,WOE_CNC_044,0.8723499679,0.6382204366,Clus53,0.3528392563,fmcc
CNC_276,11.764,0.048,358,Clus01,WOE_CNC_276,0.8622080643,0.6511593427,Clus53,0.3949996445,fmcc
DSA2_193,8.624,0.03,693,Clus01,WOE_DSA2_193,0.8727688277,0.6814988134,Clus53,0.3994684405,fmcc
CNC_036,11.747,0.048,360,Clus01,WOE_CNC_036,0.8700925511,0.698361676,Clus53,0.4306728907,fmcc
CNC_034,11.948,0.049,352,Clus01,WOE_CNC_034,0.8567103767,0.6726972148,Clus53,0.4377891962,fmcc
DSA2_194,8.963,0.031,679,Clus01,WOE_DSA2_194,0.8447209814,0.6479014612,Clus53,0.4410101193,fmcc
CNC_039,11.756,0.049,351,Clus01,WOE_CNC_039,0.8303088025,0.6598720013,Clus53,0.4989039367,fmcc
DSA2_202,9.788,0.033,650,Clus01,WOE_DSA2_202,0.7967684113,0.5954650315,Clus53,0.5023832414,fmcc
CNC_263,12.173,0.052,316,Clus01,WOE_CNC_263,0.7892064176,0.5929201448,Clus53,0.5178187514,fmcc
