var_name_o,Gini_Statistic,Information_Value,Information_Value_Ordering,cluster,var_name,rsquared,rsquared_next,clus_next,rsquared_ratio,source
KBS3_021,6.764,0.016,1011,Clus01,WOE_KBS3_021,0.8895462258,0.600525097,Clus10,0.2764974054,fmcc
ORG_182,6.143,0.013,1102,Clus01,WOE_ORG_182,0.9069412077,0.696576223,Clus10,0.3066957811,fmcc
ORG_175,9.28,0.03,705,Clus01,WOE_ORG_175,0.8744547528,0.6217628149,Clus10,0.3319220111,fmcc
ORG_173,9.255,0.031,682,Clus01,WOE_ORG_173,0.8687266669,0.6082363478,Clus10,0.3350829827,fmcc
ORG_171,9.386,0.032,670,Clus01,WOE_ORG_171,0.8543482239,0.5663616809,Clus10,0.3358830844,fmcc
KBS3_028,6.754,0.018,973,Clus01,WOE_KBS3_028,0.8481853158,0.5518209026,Clus10,0.3387366458,fmcc
ORG_174,7.241,0.02,927,Clus01,WOE_ORG_174,0.8399660052,0.536966785,Clus37,0.3456209828,fmcc
KBS3_033,6.085,0.012,1114,Clus01,WOE_KBS3_033,0.8959807386,0.7003125559,Clus10,0.3470924908,fmcc
ORG_184,6.085,0.012,1115,Clus01,WOE_ORG_184,0.8959807386,0.7003125559,Clus10,0.3470924908,fmcc
ORG_172,7.027,0.02,928,Clus01,WOE_ORG_172,0.8091178108,0.5121602595,Clus37,0.3912805238,fmcc
DSA2_229,6.897,0.019,956,Clus01,WOE_DSA2_229,0.7966104282,0.5135315811,Clus37,0.4180940918,fmcc
DSA2_250,5.768,0.011,1148,Clus01,WOE_DSA2_250,0.8796322523,0.7189625326,Clus10,0.4282978667,fmcc
ORG_186,5.881,0.011,1138,Clus01,WOE_ORG_186,0.889224786,0.747463348,Clus10,0.4386500461,fmcc
ORG_185,8.079,0.021,914,Clus01,WOE_ORG_185,0.8366897462,0.7021554811,Clus10,0.5483070645,fmcc
ORG_183,7.913,0.021,920,Clus01,WOE_ORG_183,0.8168270122,0.6739041354,Clus10,0.5617151508,fmcc
ORG_236,11.143,0.04,523,Clus01,WOE_ORG_236,0.8262261654,0.7312582038,Clus10,0.6466200531,fmcc
ORG_181,7.311,0.021,909,Clus01,WOE_ORG_181,0.62005168,0.4897513477,Clus17,0.7446336572,fmcc
ORG_177,8.41,0.027,766,Clus01,WOE_ORG_177,0.5849671606,0.4654202111,Clus52,0.7763721113,fmcc
KBS1_007,11.984,0.048,353,Clus01,WOE_KBS1_007,0.7285891243,0.6611734886,Clus15,0.8010319931,fmcc
ORG_205,6.012,0.033,660,Clus01,WOE_ORG_205,0.7277787616,0.6710236646,Clus24,0.8274796971,fmcc
ORG_179,8.174,0.026,795,Clus01,WOE_ORG_179,0.5428398831,0.4546568406,Clus52,0.8382980681,fmcc
KBS3_005,5.29,0.011,1145,Clus01,WOE_KBS3_005,0.4282042464,0.3458044729,Clus15,0.8740441196,fmcc
DSA2_252,6.985,0.02,936,Clus01,WOE_DSA2_252,0.5604042116,0.4982024101,Clus10,0.8760420482,fmcc
KBS4_062,6.986,0.02,935,Clus01,WOE_KBS4_062,0.5604496227,0.4982603552,Clus10,0.8760527136,fmcc
KBS3_032,6.076,0.015,1049,Clus01,WOE_KBS3_032,0.452010065,0.4108138239,Clus52,0.9300794167,fmcc
ORG_180,6.076,0.015,1050,Clus01,WOE_ORG_180,0.452010065,0.4108138239,Clus52,0.9300794167,fmcc
ORG_148,10.623,0.041,506,Clus01,WOE_ORG_148,0.203934215,0.186244394,Clus10,0.9782615064,fmcc
DBT_092,1.161,0.002,1333,Clus01,WOE_DBT_092,0.1215290764,0.1110512773,Clus15,0.9882132693,fmcc
ORG_167,6.601,0.018,979,Clus01,WOE_ORG_167,0.5430184614,0.5396241019,Clus24,0.9926269826,fmcc
ORG_132,3.731,0.01,1174,Clus01,WOE_ORG_132,0.0212705252,0.0158344718,Clus15,0.9944764847,fmcc
KBS4_064,10.944,0.043,458,Clus02,WOE_KBS4_064,0.9310048792,0.5024847723,Clus21,0.1386794152,fmcc
POP_254,10.943,0.043,459,Clus02,WOE_POP_254,0.9309804393,0.50248542,Clus21,0.1387287197,fmcc
POP_258,10.4,0.039,546,Clus02,WOE_POP_258,0.928598459,0.4995301375,Clus21,0.1426690124,fmcc
POP_250,10.4,0.039,545,Clus02,WOE_POP_250,0.928598459,0.4995301375,Clus21,0.1426690124,fmcc
POP_253,10.852,0.042,474,Clus02,WOE_POP_253,0.9284521522,0.5036114398,Clus21,0.1441367783,fmcc
POP_257,10.282,0.039,557,Clus02,WOE_POP_257,0.9259312535,0.5010576099,Clus21,0.1484515006,fmcc
POP_249,10.282,0.039,556,Clus02,WOE_POP_249,0.9259312535,0.5010576099,Clus21,0.1484515006,fmcc
KBS4_052,12.827,0.058,256,Clus02,WOE_KBS4_052,0.8920737762,0.4192691907,Clus21,0.1858455279,fmcc
POP_251,12.827,0.058,257,Clus02,WOE_POP_251,0.8920737762,0.4192691907,Clus21,0.1858455279,fmcc
POP_259,12.827,0.058,258,Clus02,WOE_POP_259,0.8920737762,0.4192691907,Clus21,0.1858455279,fmcc
POP_255,12.251,0.054,295,Clus02,WOE_POP_255,0.883880754,0.4368333888,Clus21,0.2061898623,fmcc
