cluster,var_name,rsquared,rsquared_next,clus_next,rsquared_ratio
Clus01,WOE_assetpropindex,0.3117646553,0.278513445,Clus59,0.9539129176
Clus01,WOE_assetownership,0.2796612936,0.2460607459,Clus59,0.9554333489
Clus01,WOE_assetprop,0.284217188,0.2510622722,Clus59,0.9557307442
Clus01,WOE_assetpropcurrentcount,0.2782023351,0.2553901338,Clus59,0.9693635522
Clus01,WOE_assetpropnewestmortgagetype,0.2096415454,0.1877631045,Clus59,0.9730639656
Clus01,WOE_addrcurrenttaxyr,0.1809036372,0.1595840639,Clus59,0.9746321169
Clus01,WOE_addrinputtaxyr,0.1937468702,0.1729123413,Clus59,0.9748097693
Clus01,WOE_addrinputsubjectowned,0.185488186,0.1680745034,Clus59,0.9790682186
Clus01,WOE_addrcurrentsubjectowned,0.1737465728,0.1561941375,Clus59,0.9791984909
Clus01,WOE_addrcurrentownershipindex,0.1621913479,0.1471394017,Clus59,0.9823512234
Clus01,WOE_sourcenonderogcount,0.1141918267,0.0986033448,Clus59,0.9827063015
Clus01,WOE_bankcard_reason1,0.1490950177,0.1387117754,Clus59,0.9879445207
Clus01,WOE_addrinputownershipindex,0.1559743199,0.1478391625,Clus07,0.9904534953
Clus01,WOE_bankcard_reason2,0.1032180072,0.0956636057,Clus59,0.9916464697
Clus01,WOE_addrinputdwelltype,0.0465454837,0.0406364982,Clus59,0.9938407231
Clus01,WOE_addrcurrentdwelltype,0.0419628689,0.0363675232,Clus59,0.9941934857
Clus01,WOE_addrcurrentdwelltypeindex,0.0418826122,0.0363102133,Clus59,0.9942176424
Clus01,WOE_short_term_lending_reason4,0.1106597022,0.1064518433,Clus59,0.9952908427
Clus01,WOE_addrinputdwelltypeindex,0.0405579825,0.0360608558,Clus59,0.9953346363
Clus01,WOE_addrcurrentdeedmailing,0.0620247024,0.0596900861,Clus59,0.9975171842
Clus01,WOE_sourcenonderogcount12month,0.069109692,0.0669314783,Clus59,0.9976655372
Clus01,WOE_addrpreviousdwelltypeindex,0.0290143308,0.0269811408,Clus59,0.9979104311
Clus01,WOE_subjectactivityindex12month,0.0666776228,0.0651414191,Clus59,0.9983567528
Clus01,WOE_addrinputphonecount,0.0076318615,0.0060058157,Clus59,0.9983641295
Clus01,WOE_addrinputdeedmailing,0.0607541431,0.0600975476,Clus59,0.9993014216
